text,label
"Profil:  | Planerat:  | Status: Vaknar utvilad en lördag, känner sig helt oslagbar. HRV är perfekt. Leo vill byta ut sitt lugna distanspass mot ett eget påhittat testlopp för att ""se om han kan slå sitt personbästa på 3000m på träning"". Dagens pass: 10 km lugn återhämtningsdistans (Zon 2). Vad rekommenderar du?",E
"Profil: 26 år, tränar 5–6 pass/vecka, 10 km-tävling om 10 dagar. | Planerat: 8 km inkl. 4 km i tävlingsfart. | Status: Dag 1 i menstruationscykeln. Upplever lätt mensvärk (4/10). Sömn normal, HRV normal. Känner sig mentalt stabil.
Vad rekommenderar du?",E
"Profil: 36 år, tränar 5 pass/vecka, terränglöpning. | Planerat: Backpass 15×45 sek. | Status: Sovit normalt men har lätt huvudvärk.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Under ett 28 km långpass (som springs i ZON 2) tar energin tvärslut för Johan vid 22 km (Han ""går in i väggen""). Pulsen är låg, men benen känns som bly. Dagens pass: Långpass 28 km. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: HRV 115, RHR 42 (nästan tillbaka på baslinje). Körde ett tungt benpass på gymmet igår kväll (knäböj och marklyft). Känner sig extremt stel i framsida lår idag (DOMS), RPE 7/10 på träningsvärk.
Baslinje: Genomsnittligt HRV: 120. VO2 max: 65. Vilopuls (RHR): 40. Veckovolym: 70 km.
Dagens pass: Tröskelintervaller 6x1000m på löparbana.",A
"Profil:  | Planerat:  | Status: Johan har haft en hektisk vecka och missat två pass. Det är söndag och för att nå sin ""målvolym"" på 60 km för veckan, behöver han springa 32 km idag istället för planerade 20 km. Dagens pass: Långpass 20 km. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Måste ta med barnvagnen på dagens pass. Det blåser mycket och det är tungt att putta.
Dagens pass: Fartlek 40 minuter (korta ruscher).
Vad rekommenderar du?",E
"Profil: 28 år, tränar för Göteborgsvarvet, veckovolym 50 km. | Planerat: Tempopass – 20 min sammanhängande tröskel. | Status: Öm hälsena som känns stel på morgonen och ömmar lätt vid löpning.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Första gången på veckor har Sara sovit ut (8h oavbrutet), ätit bra och har noll stress. Schemat säger dock bara 30 min återhämtningsjogg. Hon vill utnyttja super-dagen till något tyngre.
Dagens pass: 30 min lugn jogg (Zon 1/2).
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Efter 1 km av uppvärmningen känner Leo en tydlig smärta på insidan av smalbenet (benhinnorna, 4/10). Smärtan ökar i nedförsbackar. Dagens pass: 8 km tempopass. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Simmade ett brutalt överkroppspass i morse. Axlarna och bröstryggen är så stela att han har svårt att röra armarna naturligt, vilket pajar hans löpställning.
Dagens pass: 12 km tempopass (kvällstid).
Vad rekommenderar du?",E
"Profil: 33 år, motionär, tränar 3 pass/vecka. | Planerat: Långpass – 14 km. | Status: Smärta på utsida knä efter förra långpasset (misstänkt löparknä), känns vid löpning. 
Vad rekommenderar du?",E
"Profil: 16 år, medeldistansare. | Planerat: 6×800 m intervaller. | Status: Social stress, mycket i skolan men sovit 8 h, RPE 4/10. 
Vad rekommenderar du?",E
"Profil: 42 år, motionär, tränar 3 ggr/vecka. | Planerat: Långpass 16 km. | Status: Väldigt varmt ute (29°C), känner sig tung och trött. 
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Har haft nationella prov hela veckan. Sovit 4 timmar per natt i tre dagar. Vilopulsen är +8 slag förhöjd. Leo känner sig extremt trött i huvudet, men vill träna för att ""inte tappa mot konkurrenterna"". Dagens pass: Hårda intervaller 8x400m i tävlingsfart. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Det är 5 dagar kvar till säsongens viktigaste 5000m-lopp. Alex känner sig ""för pigg"", HRV ligger på 130 (högre än normalt) och RHR på 38. Han är nojig över att tappa formen och vill trycka på för att ""känna att farten finns där"".
Baslinje: Genomsnittligt HRV: 120. VO2 max: 65. Vilopuls (RHR): 40. Veckovolym: 70 km.
Dagens pass: Lätt aktivering planerad (30 min jogg + 4x15 sekunder snabba stegringar).",A
Profil:  | Planerat:  | Status: Johan vaknar och är extremt stel i höger hälsena (5/10 smärta vid första stegen). Det släpper efter 10 minuters promenad och känns inget när han väl är varm. Dagens pass: Lugn distans 15 km. Vad rekommenderar du?,E
"Profil: 30 år, tränar för halvmaraton. | Planerat: Tröskelpass 3×10 min. | Status: Förhöjd puls 10 bpm över normalt på lugna pass, RPE högre än vanligt. 
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Efter en treveckors-period av hård träning visar Johans klocka att hans HRV har varit konstant lågt i 5 dagar. Vilopulsen är dock normal. Han känner sig ""lite tung"" men vill träna. Dagens pass: 12 km fartlek. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Måste ta med barnvagnen på dagens pass. Det blåser mycket och det är tungt att putta.
Dagens pass: Fartlek 40 minuter (korta ruscher).
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Det är två veckor kvar till maratonloppet. Johan har följt schemat och minskat volymen. Nu får han panik, tycker att han tappat all kondition och känner sig trög. Han vill ut och springa ett snabbt 15 km-pass för att ""väcka benen"". Dagens pass: 8 km mycket lugn jogg + 4 korta stegringar. Vad rekommenderar du?",E
"Profil: 22 år, tävlar 5 km om 9 dagar. | Planerat:  | Status: Sovit 9 timmar, RPE 3/10 senaste passet, mycket pigg. 
Vad rekommenderar du?",E
"Profil: 23 år, nyss persat 5 km. | Planerat:  | Status: Sovit bra, RPE 3/10, senaste veckorna gått mycket bra. 
Vad rekommenderar du?",E
"Profil: 19 år, motionär, tränar 4 pass/vecka | Planerat: Intervaller 8×3 min | Status: Sovit 4 timmar, RPE 8/10 igår, lätt huvudvärk",E
"Profil:  | Planerat:  | Status: Har kört ett stenhårt rehab-pass (excentriska tåhävningar) på gymmet för att förebygga skador. Idag är vaderna så stela av träningsvärk att han vaggar fram.
Dagens pass: Tröskelintervaller 5x1000m.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Har missat två hela veckors träning på grund av en muskelbristning i vaden. Nu känns vaden plötsligt bra (ingen smärta). Schemat är nu inne i ""Vecka 8"" (tuffaste veckan med mest volym).
Dagens pass: 16 km långpass inkl. farthöjning.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Vaknar och känner sig som ""kola i hela kroppen"". Inget gör ont, men hon känner sig tung, osugen på mat och vilopulsen är +5. Hon ligger i en tung träningsblock-period.
Dagens pass: 4 timmar trail-löpning.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Körde ett distanspass igår som skulle vara ""lugnt"", men Leo sprang i halvhårt tempo hela vägen för att han ""kände för det"". Idag vaknar han med blytunga ben och noll energi. Dagens pass: Tröskelpass 4x6 minuter. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Marcus är ute på ett planerat 8 km tröskelpass. Vid 8 km känner han sig lite sliten, men ser på klockan att om han bara pressar 2 km till så sätter han nytt personbästa på milen på Strava. Han tvekar.
Dagens pass: Avsluta efter 8 km.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Efter gårdagens lugna löpning fick hon ont (smärta 4/10) framtill i bäckenet/symfysen, vilket hon känner igen från graviditeten. Idag känns det okej vid gång, men ömmar om hon hoppar.
Dagens pass: 6 km distans.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Har gått mycket på asfalterat tak hela veckan. Imorse när han klev ur sängen högg det till som en kniv under ena hälen (klassiskt symtom på hälsporre). Det släppte lite efter frukost.
Dagens pass: 8 km tröskelpass.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: 3 dagar kvar till JSM (Junior-SM). Leo känner sig plötsligt väldigt tung i kroppen, vilket är vanligt under formtoppning, men han är stressad över det och vill ut och ""testa benen"" hårt. Dagens pass: 20 minuter superlugn jogg. Vad rekommenderar du?",E
"Profil: 19 år, tävlar på 400 m, veckovolym 20 km. | Planerat: 10×200 m sprint. | Status: Känning i baksida lår, smått öm vid tryck. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Har haft nationella prov hela veckan. Sovit 4 timmar per natt i tre dagar. Vilopulsen är +8 slag förhöjd. Leo känner sig extremt trött i huvudet, men vill träna för att ""inte tappa mot konkurrenterna"". Dagens pass: Hårda intervaller 8x400m i tävlingsfart. Vad rekommenderar du?",E
"Profil:  | Planerat: 8×400 m intervaller (5 km-fart). | Status: Sovit 5 timmar, känner sig seg och tung i benen. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Fick sladd på racercykeln igår och skrapade upp höften rejält. Inget är brutet, men det svider mycket och stramar i huden när han tar ut löpsteget. RPE för smärta är 4/10.
Dagens pass: Långpass 18 km löpning.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Det är 5 dagar kvar till säsongens viktigaste 5000m-lopp. Alex känner sig ""för pigg"", HRV ligger på 130 (högre än normalt) och RHR på 38. Han är nojig över att tappa formen och vill trycka på för att ""känna att farten finns där"".
Baslinje: Genomsnittligt HRV: 120. VO2 max: 65. Vilopuls (RHR): 40. Veckovolym: 70 km.
Dagens pass: Lätt aktivering planerad (30 min jogg + 4x15 sekunder snabba stegringar).",A
"Profil:  | Planerat:  | Status: Vaknade med ett HRV på 90 samt RHR på 55. Har haft ett högt träningstempo senaste veckan med både tunga intervallpass och tunga lyft. Känner sig trött (centralt), men musklerna känns utvilade.
Dagens pass: VO2 max-intervaller, ca 60 min totalt.",D
"Profil: 31 år, tränar för halvmaraton, veckovolym 45 km. | Planerat: 3×10 min tröskel. | Status: Hög vilopuls i morse, Garmin anger “Hög stress”.
Vad rekommenderar du?",E
"Profil: 25 år, tränar för att förbättra 10 km-tid, veckovolym 28 km. | Planerat: Lågintensiv distans 7 km. | Status: Kraftig träningsvärk i framsida lår efter styrketräning. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Jobbade över, missade middagen och klockan är 19:30. Mikael är vrålhungrig, lite skakig och ska upp kl 05:30 imorgon bitti igen.
Dagens pass: 10 km distanslöpning.
Vad rekommenderar du?",E
"Profil: 40 år, tränar inför halvmaraton, veckovolym 50 km. | Planerat: Tröskel – 5×6 min. | Status: Har redan genomfört 4 hårda pass de senaste 6 dagarna, känner sig trött men ”vill inte missa passet”.
Vad rekommenderar du?a",E
"Profil: 33 år, tränar för maraton, 80 km/vecka. | Planerat: 28 km långpass. | Status: Känsla av stelhet i hälsenan efter en vecka med mycket asfalt. Inga smärttoppar, men obehag i trampsteget.
Vad rekommenderar du?",E
"Profil: 39 år, tränar 4 pass/vecka. | Planerat:  | Status: ",E
"Profil: 27 år, tränar 7 pass/vecka, prestationsfokuserad. | Planerat: 12 km distans. | Status: Känner sig ”lite sliten” i 2 veckor, HRV svagt nedåtgående trend, prestation något sämre på senaste intervallpasset. Säger: ”Det är bara mental svaghet, jag måste trycka igenom.”
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Efter gårdagens lugna löpning fick hon ont (smärta 4/10) framtill i bäckenet/symfysen, vilket hon känner igen från graviditeten. Idag känns det okej vid gång, men ömmar om hon hoppar.
Dagens pass: 6 km distans.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Det är dagen innan Emmas stora mål: Hon ska springa ""Test-milen"" för att se om hon klarar under 60 minuter. Hon är väldigt nervös och vill sticka ut och ""testa formen"" med ett snabbt 3 km-pass.
Dagens pass: Helvila.
Baslinje: Tränar 3 pass i veckan (tis, tors, sön). Veckovolym: ca 20 km.",B
"Profil:  | Planerat:  | Status: Efter en treveckors-period av hård träning visar Johans klocka att hans HRV har varit konstant lågt i 5 dagar. Vilopulsen är dock normal. Han känner sig ""lite tung"" men vill träna. Dagens pass: 12 km fartlek. Vad rekommenderar du?",E
"Profil: 20 år, tävlar 1500 m. | Planerat: Tröskel 3×8 min. | Status: Peakform, RPE lågt, god återhämtning, en vecka innan tävling. 
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Körde ett ""Brick-pass"" (cyklade först, bytte skor, sprang sedan direkt). Under de första 2 kilometrarna av löpningen fick han våldsam kramp i vänster vad, som nu är extremt öm.
Dagens pass (Dagen efter): 8 km lätt återhämtningsjogg.
Vad rekommenderar du?",E
"Profil: 29 år, erfaren löpare, tränar för 10 km, veckovolym 40 km. | Planerat: Tröskel – 3×8 min. | Status: Huggande smärta i höger höft varje gång foten sätts i marken.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Har sovit kanske 3 timmar osammanhängande pga vaket barn. Känner sig yr och mår lite illa av trötthet.
Dagens pass: 12 km långpass.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: I helgen kände Emma sig stark och sprang 12 km istället för de planerade 8 km. Det var hennes längsta runda någonsin. Nu är det tisdag och hon har massiv träningsvärk (RPE 8/10) i låren.
Dagens pass: Tröskelpass 3x8 minuter.
Baslinje: Tränar 3 pass i veckan (tis, tors, sön). Veckovolym: ca 20 km.",C
"Profil:  | Planerat:  | Status: Det regnar på tvären och är mörkt ute. Emma är trött och känner absolut noll motivation att gå ut. Ingen träningsvärk, bara hjärnspöken.
Dagens pass: Backintervaller 8x40 sekunder.
Baslinje: Tränar 3 pass i veckan (tis, tors, sön). Veckovolym: ca 20 km.",A
"Profil:  | Planerat: 24 km långpass. | Status: Åt dåligt under gårdagen (bara en måltid), tränade sent och hann inte återhämta ordentligt. 
Känner låg energi på morgonen trots normal sömn. 
Vad rekommenderar du?",E
"Profil: 22 år, tävlar 5 km om 9 dagar. | Planerat:  | Status: Sovit 9 timmar, RPE 3/10 senaste passet, mycket pigg. 
Vad rekommenderar du?",E
"Profil: 40 år, tränar 4 pass/vecka, viktminskningsmål parallellt. | Planerat: Långpass 16 km lugn distans. | Status: Märker tydlig pulsdrift efter 8–9 km senaste två långpassen. Ligger på kaloriunderskott ~500 kcal/dag. Sovit 6 timmar per natt senaste veckan. Känner sig ”småseg” men inte sjuk.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Marcus köpte nya, aggressiva kolfiberskor och sprang sitt långpass i dem igår. Idag vaknar han med extremt spända vader och ömma hälsenor (DOMS 7/10).
Dagens pass: Lugn distans 8 km.
Vad rekommenderar du?",E
Profil:  | Planerat:  | Status: Johan ska springa intervaller och hamnar med yngre löpare. Han springer intervallerna alldeles för snabbt (långt över sin mjölksyratröskel) och känner att han drar på sig mycket syra tidigt i passet. Dagens pass: Tröskelintervaller 4x2 km. Vad rekommenderar du?,E
"Profil: 30 år, tränar för milen sub45, 40 km/vecka. | Planerat: Backintervaller 12×45 sek. | Status: I den del av menstruationscykeln där ledrörligheten kan öka (runt ägglossning). Känner lätt instabilitet i knäna men ingen smärta. Energi och puls normala.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Simmade ett brutalt överkroppspass i morse. Axlarna och bröstryggen är så stela att han har svårt att röra armarna naturligt, vilket pajar hans löpställning.
Dagens pass: 12 km tempopass (kvällstid).
Vad rekommenderar du?",E
"Profil: 31 år, tränar för halvmaraton, veckovolym 45 km. | Planerat: 3×10 min tröskel. | Status: Hög vilopuls i morse, Garmin anger “Hög stress”.
Vad rekommenderar du?",E
"Profil: 25 år, tränar för att förbättra 10 km-tid, veckovolym 28 km. | Planerat: Lågintensiv distans 7 km. | Status: Kraftig träningsvärk i framsida lår efter styrketräning. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Efter 1 km av uppvärmningen känner Leo en tydlig smärta på insidan av smalbenet (benhinnorna, 4/10). Smärtan ökar i nedförsbackar. Dagens pass: 8 km tempopass. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Johan har haft en hektisk vecka och missat två pass. Det är söndag och för att nå sin ""målvolym"" på 60 km för veckan, behöver han springa 32 km idag istället för planerade 20 km. Dagens pass: Långpass 20 km. Vad rekommenderar du?",E
"Profil: 19 år, tävlar på 400 m, veckovolym 20 km. | Planerat: 10×200 m sprint. | Status: Känning i baksida lår, smått öm vid tryck. Vad rekommenderar du?",E
"Profil: 45 år, tränar inför första halvmaraton, veckovolym 45 km. | Planerat: Långpass – 20 km. | Status: Garmin visar “Recovery time: 48 h” efter gårdagens hårda pass, benen känns tunga. 
Vad rekommenderar du?",E
"Profil: 19 år, terränglöpare, veckovolym 35 km | Planerat: Intervaller – 6×800 m | Status: Ont i halsen, lätt feberkänsla och frusen.",E
"Profil:  | Planerat:  | Status: Känner sig ""tjock"" i halsen på morgonen, men har absolut ingen feber och vilopulsen är normal. Ingen smärta när han sväljer. Dagens pass: Backintervaller 10x45 sekunder. Vad rekommenderar du?",E
"Profil: 26 år, tränar 5–6 pass/vecka, 10 km-tävling om 10 dagar. | Planerat: 8 km inkl. 4 km i tävlingsfart. | Status: Dag 1 i menstruationscykeln. Upplever lätt mensvärk (4/10). Sömn normal, HRV normal. Känner sig mentalt stabil.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Vaknar efter tre dagars frånvaro med halsont. Är nu helt smärt- och feberfri sedan 24 timmar. HRV är dock fortfarande något lågt (105) och vilopulsen är +5 slag över normalt.
Baslinje: Genomsnittligt HRV: 120. VO2 max: 65. Vilopuls (RHR): 40. Veckovolym: 70 km.
Dagens pass: Intervaller 8x400m i 3000m-fart.",B
"Profil: 22 år, tränar för att förbättra miltid, veckovolym 40 km. | Planerat: Intervaller – 5×1000 m (10 km-fart). | Status: Låg vätskenivå efter en varm dag igår, mörk urin på morgonen och lätt huvudvärk. Pulsen normal, men känner sig seg. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Barnet somnade precis. Sara har exakt 25 minuter på sig innan partnern måste åka iväg. Hennes schema säger 45 minuter lugn jogg.
Dagens pass: 45 min distans.
Vad rekommenderar du?",E
Profil:  | Planerat:  | Status: Leos kompisar (som är äldre och snabbare) frågar om han vill hänga med på deras långpass som går mycket snabbare än Leos planlagda tempo. Leo vill verkligen hänga på. Dagens pass: Långpass 15 km i lugnt tempo (5:00 min/km). Vad rekommenderar du?,E
"Profil: 19 år, tävlar på 400 m, veckovolym 20 km. | Planerat: 10×200 m sprint. | Status: Känning i baksida lår, smått öm vid tryck. Vad rekommenderar du?",E
"Profil: 29 år, tränar för milen sub40, 55 km/vecka. | Planerat: 5×2 km tröskel. | Status: Haft en vecka med 3 mycket tuffa pass, benen känns “stumma”, men ingen smärta.
Vad rekommenderar du?",E
"Profil: 32 år, tränar 5 pass/vecka, halvmaraton om 8 dagar. | Planerat: 10 km varav 6 km i tävlingsfart. | Status: Känner begynnande förkylning (lätt halsont), HRV något sänkt, sovit 5 h. Säger: ”Jag MÅSTE känna tävlingsfarten en gång till.”
Vad rekommenderar du?",E
"Profil: 19 år, motionär, tränar 4 pass/vecka | Planerat: Intervaller 8×3 min | Status: Sovit 4 timmar, RPE 8/10 igår, lätt huvudvärk",E
"Profil: 30 år, tränar för halvmaraton. | Planerat: Tröskelpass 3×10 min. | Status: Förhöjd puls 10 bpm över normalt på lugna pass, RPE högre än vanligt. 
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Barnet somnade precis. Sara har exakt 25 minuter på sig innan partnern måste åka iväg. Hennes schema säger 45 minuter lugn jogg.
Dagens pass: 45 min distans.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Har fått nya arbetsbyxor/skor på jobbet som gett honom ett stort vätskefyllt skavsår på sidan av tån. Det gör ont att sätta på sig löparskorna.
Dagens pass: 12 km fartlek.
Vad rekommenderar du?",E
"Profil: 42 år, tidigare elitmotionär, tränar 5–6 pass/vecka. | Planerat: Tröskelpass 3×10 min. | Status: Känner sig ovanligt stel i vaderna, vilopuls +8 slag över normal, hög arbetsstress senaste veckan.
Vad rekommenderar du?",E
"Profil: 15 år, ungdom, tränar för allmän utveckling. | Planerat: Teknik + strides 8×100 m. | Status: Ont i knät när hen springer i uppförsbackar. Vad rekommenderar du?",E
"Profil: 28 år, tränar för 10 km, veckovolym 45 km. | Planerat: Intervaller – 4×1600 m. | Status: Kraftig träningsvärk i baksida lår, svårt att sträcka ut benet ordentligt. 
Vad rekommenderar du?",E
Profil:  | Planerat:  | Status: Leos kompisar (som är äldre och snabbare) frågar om han vill hänga med på deras långpass som går mycket snabbare än Leos planlagda tempo. Leo vill verkligen hänga på. Dagens pass: Långpass 15 km i lugnt tempo (5:00 min/km). Vad rekommenderar du?,E
"Profil:  | Planerat:  | Status: Första gången på veckor har Sara sovit ut (8h oavbrutet), ätit bra och har noll stress. Schemat säger dock bara 30 min återhämtningsjogg. Hon vill utnyttja super-dagen till något tyngre.
Dagens pass: 30 min lugn jogg (Zon 1/2).
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Körde ett distanspass igår som skulle vara ""lugnt"", men Leo sprang i halvhårt tempo hela vägen för att han ""kände för det"". Idag vaknar han med blytunga ben och noll energi. Dagens pass: Tröskelpass 4x6 minuter. Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Sara springer en gammal runda hon ofta sprang förr. Hon inser efter halva passet att hon ligger 45 sekunder/km långsammare än hon gjorde för 3 år sedan. Hon blir deppig, vill ge upp och gå hem.
Dagens pass: 8 km tempopass.
Vad rekommenderar du?",E
"Profil:  | Planerat:  | Status: Mycket trött efter skoldagen och vill helst inte träna. 
Vad rekommenderar du?",E
